company_name,company_id,全网评分,基本信息评分,创新评分,稳定性评分,风险评分
TCL通讯科技（成都）有限公司,86b4048d-836d-4e30-a937-f9dfa1acd4e2,86.0,56.0,70,75.0,100
一众工程咨询集团有限公司,395cbef4-ef53-4a10-99c1-bcf2d6da6ff8,83.0,73.0,70,60.0,100
一匀（成都）科技有限公司,658b588d-f565-4484-af2f-06f2b98f8552,58.0,31.0,40,45.0,90
一城（成都）工程咨询有限公司,50aa14e7-41bc-4d08-a9cb-4777d00239a1,68.0,65.0,40,50.0,90
一夫当关体育科技（成都）有限公司,c8ba00b6-c9bc-476d-9877-33894e7030b1,61.0,31.0,40,55.0,90
一智科技（成都）有限公司,b0f902b4-a271-45ee-a64e-f365452de065,75.0,69.0,75,60.0,80
一汽（四川）专用汽车有限公司,73d82e3e-2d70-47d0-a624-9db5bc7ae946,94.0,74.0,70,50.0,70
一石数字技术成都有限公司,f4422a70-e6bd-4e84-9df3-43a7583c16e9,78.0,69.0,80,55.0,90
一起生活网络成都有限公司,498b3104-3b6b-49b8-bfd8-f13625c57708,80.0,67.0,70,60.0,100
七迈车科技集团有限公司,db6e02c8-a3b0-4c61-9fba-999e4122a7a4,84.0,52.0,45,45.0,65
万商云集（成都）科技股份有限公司,5d8cf304-ffad-46d6-91ba-3a4755746f02,77.0,72.0,75,80.0,95
万基泰科工集团（四川）有限公司,c58c22cd-8194-484a-b76c-e0cf5f74ed03,73.0,41.0,70,60.0,90
万岩铁路装备（成都）有限责任公司,3ff0f697-bcdf-4fd4-b5e7-f97b26ecf786,73.0,47.0,50,50.0,90
万物共算（成都）科技有限责任公司,4a073e1c-e749-4eb5-ad9b-c383c045ac35,58.0,31.0,40,50.0,100
万物镜像科技（成都）有限公司,c482564d-63e4-4452-bc81-f5c63ebde784,58.0,68.0,35,50.0,100
万瞳智能科技成都有限公司,1f9e8c0b-c325-4e23-b1c4-da38df300382,63.0,55.0,35,50.0,90
万硕（成都）航空科技有限公司,47e27823-f99b-4188-86fd-5e25ecf8f9c4,58.0,50.0,60,55.0,100
万维智银（成都）科技有限公司,ffc78679-515a-494e-8ffb-086134350fbb,58.0,49.0,35,45.0,70
万象光形生物科技（成都）有限公司,17e968a5-65b0-4571-b578-2af4852df06f,58.0,50.0,25,40.0,90
三奇忆氧科技（四川）有限公司,de97154e-dfea-47b7-be51-18cad35a89fb,74.0,63.0,50,50.0,80
三意科技（成都）有限公司,86c9dbe8-03e8-477b-aede-ca8bbcf897fb,77.0,63.0,45,50.0,90
三投成都信息科技有限公司,fe68c4ac-e879-480f-916e-34554da68d15,61.0,35.0,40,55.0,90
上亿互动（成都）网络科技有限公司,22227e15-207b-46b6-a62d-995ef7b5a460,58.0,49.0,50,50.0,90
